               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.019117,            0.016154,           0.0018638,             0.87519,             0.77927,             0.80605,             0.52008,            0.022572,             0.01963,           0.0046683,            0.009951,            0.009951,            0.009951
                  96,            0.018742,            0.016965,           0.0023902,              0.9143,             0.77233,             0.82326,              0.5121,            0.022536,            0.020707,           0.0038208,             0.00995,             0.00995,             0.00995
                  97,            0.019369,             0.01778,           0.0024132,             0.90091,              0.7326,             0.81703,             0.51703,            0.022382,            0.019966,           0.0051574,           0.0099489,           0.0099489,           0.0099489
                  98,            0.017968,            0.016618,            0.002302,             0.91129,             0.79232,             0.82774,             0.52654,            0.022432,            0.020167,           0.0043614,           0.0099479,           0.0099479,           0.0099479
                  99,            0.017684,             0.01741,           0.0018516,             0.91591,             0.77019,             0.83483,             0.52528,             0.02247,            0.020671,           0.0037766,           0.0099468,           0.0099468,           0.0099468
                 100,            0.018832,            0.016603,           0.0019187,             0.86363,             0.79881,             0.83361,             0.54088,            0.022631,            0.020364,           0.0048955,           0.0099457,           0.0099457,           0.0099457
                 101,            0.019643,            0.016387,           0.0022614,             0.90141,             0.80304,             0.86693,             0.56346,            0.022315,            0.020129,           0.0042132,           0.0099446,           0.0099446,           0.0099446
                 102,            0.017888,            0.016456,           0.0019664,              0.9296,             0.79117,             0.86234,             0.53765,            0.023432,            0.020724,           0.0040371,           0.0099435,           0.0099435,           0.0099435
                 103,            0.018892,            0.016919,           0.0022051,             0.89451,             0.79137,              0.8541,             0.54703,            0.022639,            0.020284,           0.0053994,           0.0099424,           0.0099424,           0.0099424
                 104,             0.01928,             0.01638,           0.0021752,             0.88603,             0.78066,             0.84928,              0.5428,             0.02211,             0.02029,           0.0032258,           0.0099412,           0.0099412,           0.0099412
                 105,            0.018385,            0.016512,           0.0016973,             0.89526,             0.76413,             0.84077,             0.53273,             0.02276,            0.020446,           0.0028899,           0.0099401,           0.0099401,           0.0099401
